Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
31,1,3,3,0.4909328882394064,0,0,2,17,96,37,1
23,1,3,0,23.157642857635565,0,0,9,52,4,7,2
25,0,1,1,9.568978008459766,0,0,17,133,69,37,0
18,1,1,0,5.429694458107532,0,0,8,98,16,22,2
17,0,1,3,5.792709409308211,0,2,6,144,97,9,2
42,1,0,2,18.68741056104737,0,1,19,149,92,36,0
39,1,3,4,11.85638349936666,0,1,8,159,28,44,2
23,1,0,2,11.185604074662908,0,0,12,101,51,31,2
49,0,3,1,11.387026647189224,0,1,2,178,18,16,2
29,1,1,2,11.256179789007607,0,0,4,85,20,20,2
18,1,1,0,5.212258199890406,0,2,7,70,54,26,2
35,1,3,0,11.7744206048828,0,2,10,119,92,5,2
35,1,1,0,6.950139613843163,0,0,14,172,85,28,0
26,1,1,3,1.6353748617492787,1,2,13,22,80,44,2
22,1,2,0,9.35446243378114,0,0,13,141,59,15,0
46,0,3,2,17.357005396685018,1,2,14,82,14,26,2
20,1,3,3,12.58036186442434,1,2,3,57,69,36,1
24,1,3,3,5.213005190798245,0,2,2,55,80,38,0
21,1,0,1,0.2768151401550378,0,0,1,173,46,25,1
22,1,2,3,10.198932976672408,0,0,1,38,26,17,1
17,1,3,0,22.57013746177788,0,2,6,128,68,32,0
43,0,2,4,15.405250571821448,1,1,14,174,32,31,0
39,1,0,0,6.995611664399768,0,1,9,56,10,22,2
18,0,3,4,18.265754162002175,1,0,0,166,53,10,1
47,1,3,1,8.267206253709567,1,2,0,174,53,28,1
44,1,3,1,5.296692731556459,0,0,2,17,25,31,1
35,0,3,1,16.260669141666583,0,0,3,125,71,42,2
47,0,1,3,0.080513817149467,0,1,2,26,36,11,1
42,1,0,4,22.27382245619601,0,0,17,92,53,2,0
27,1,1,3,3.2640188455105257,0,2,2,139,91,12,1
18,1,0,4,8.17697801335272,0,2,12,167,78,42,0
24,0,3,2,15.842216617835756,0,0,16,18,67,34,2
26,1,1,3,3.045745351080521,0,2,4,114,34,11,2
23,1,1,4,9.89737663587396,0,0,16,138,63,6,0
19,1,3,4,21.70461522574466,1,2,12,146,23,25,0
30,0,0,0,14.72189427850497,0,0,12,59,19,18,2
48,0,3,4,0.121963513273136,1,2,17,20,93,43,2
42,1,0,2,2.749510709316511,1,2,12,47,46,36,2
37,1,1,2,19.756502099289683,0,1,4,176,4,15,2
35,0,3,4,11.702642151566216,0,0,9,109,7,11,0
40,0,2,0,22.637952114880743,0,2,5,157,5,13,2
46,1,3,2,12.417345355003905,0,1,19,152,13,38,0
28,1,1,4,21.518025024140453,0,2,17,119,62,42,0
20,1,0,1,1.565102086226597,0,2,15,138,74,1,0
23,0,1,1,17.337260082966996,0,2,2,13,73,16,1
42,1,0,1,18.82855295575711,0,0,15,43,73,41,2
20,0,1,2,16.19414609222076,0,1,0,48,83,27,2
38,1,3,1,16.070502396500668,0,1,14,85,84,46,2
47,1,3,3,12.308988353456666,0,1,6,117,46,26,2
31,1,3,0,0.1522957768649515,0,2,0,142,90,15,1
21,0,3,2,12.899000179583672,0,2,3,153,19,44,2
34,1,1,0,8.099260115757378,0,0,19,151,80,25,0
44,1,0,0,5.328921869809606,0,2,10,12,36,20,0
17,1,3,4,2.5563845765843096,1,0,7,27,67,28,1
20,1,2,2,2.708399558532106,1,0,7,123,29,15,0
47,1,1,4,22.937023718568184,0,2,9,81,46,17,2
30,0,1,1,14.290614690146136,0,0,15,80,77,48,2
44,1,0,2,1.667965390426822,0,0,17,129,82,40,0
22,1,1,3,18.429787731023307,0,1,4,62,44,34,1
24,0,0,3,15.559283996451745,0,0,3,50,78,48,2
26,1,1,2,20.16558026055685,1,0,0,49,40,28,0
31,1,1,3,7.156211706762015,1,1,19,82,98,22,0
24,0,1,1,3.992705389947568,0,1,8,22,25,17,1
47,0,3,0,1.3946492738416412,1,2,3,159,49,32,2
27,0,1,3,2.8467811443059388,0,0,19,57,45,34,2
46,0,3,3,4.698827619427323,0,0,5,47,95,45,2
37,1,3,0,13.99237229131781,0,0,9,60,16,20,2
41,1,1,3,14.741569619889964,1,2,17,149,47,18,0
23,1,1,0,8.360294832839966,0,0,2,127,78,6,1
20,0,3,4,18.10549856185268,0,2,13,77,52,19,2
31,1,1,4,6.536307319977327,0,0,15,109,11,28,0
24,1,1,0,13.860224529504936,1,1,9,100,61,14,2
24,1,0,3,12.695783616405482,0,2,19,113,22,48,1
47,0,3,4,11.393709176245943,1,1,12,168,21,47,0
29,1,0,1,6.848247238399023,0,1,0,159,83,17,1
16,1,0,1,12.758300955931546,0,0,6,161,34,38,2
43,1,3,4,18.68733067081945,0,2,11,96,58,14,2
41,1,1,3,8.68319573294876,1,1,8,125,31,23,2
20,1,1,4,21.06835111071566,1,0,13,99,68,8,2
36,1,1,4,0.4997700716707953,0,1,14,44,97,15,2
17,1,3,4,6.783908494574621,0,1,10,23,6,14,1
24,0,3,0,13.14425545324363,0,1,3,80,49,10,1
33,0,0,0,2.91494155624262,0,0,19,124,68,37,0
39,1,1,1,22.67633776002301,0,2,2,131,61,37,2
29,1,1,4,12.989488128226158,1,0,9,94,80,33,2
43,1,3,1,14.064695893533743,0,0,13,153,66,42,0
29,1,3,0,7.883125038607041,0,1,1,60,11,35,1
33,1,0,1,5.728851137908927,0,0,2,45,19,2,1
30,0,3,4,4.57091381702893,0,0,7,28,30,1,1
47,0,1,4,5.61060178601482,0,1,6,30,71,20,1
20,1,3,3,9.420729219338371,0,0,8,133,42,10,2
42,1,0,1,14.609732609188264,1,2,12,104,56,3,2
22,1,3,1,2.1670235155526623,0,0,5,118,14,23,2
24,0,2,1,15.214229721195828,0,1,10,63,58,37,2
24,0,0,1,17.336274246696195,1,2,1,109,1,7,1
33,1,1,1,17.184696903804717,1,1,14,17,58,19,1
27,0,3,2,7.762770394678976,0,0,8,125,72,0,2
15,1,1,3,22.04615787133573,0,0,1,63,24,15,1
31,0,3,1,14.332662182664585,0,0,18,18,70,34,2
29,0,1,4,8.094082801478471,1,1,16,139,1,35,0
45,0,0,4,12.62349445105904,0,1,15,145,95,41,0
39,1,3,1,6.533978796406122,0,0,1,135,14,21,1
16,1,3,1,7.858806156019106,0,0,7,164,49,14,2
18,1,1,3,8.700353867204548,0,2,17,16,29,15,1
20,1,1,3,7.772579469525437,1,0,13,59,45,6,1
22,0,0,2,18.25226882604808,1,1,2,149,37,23,2
46,1,3,1,23.717865360312373,0,1,6,68,5,6,2
49,0,0,2,19.121715192834813,0,0,0,22,5,2,1
18,1,1,2,8.998493670975016,1,1,8,128,82,5,1
47,0,3,1,16.755704632823093,1,0,14,53,21,43,2
49,0,2,4,6.086682348547599,1,0,5,89,81,17,2
31,0,3,2,22.023189219474027,0,0,10,120,85,27,2
49,1,0,1,10.494538443892308,0,0,9,129,3,36,2
33,0,1,1,2.9089990755048643,0,0,8,68,42,15,2
34,1,3,2,21.781889798367374,0,0,10,42,92,2,2
24,0,1,4,18.068594082544145,1,0,8,33,67,30,2
24,1,1,0,15.743024127071452,1,0,13,149,16,48,0
37,1,1,1,11.501892438207571,0,2,7,175,6,36,2
42,1,3,2,21.7248840235956,1,0,2,133,79,49,2
15,1,2,4,11.59428038292504,0,2,8,178,85,16,0
46,0,0,1,6.244278613653111,0,2,15,142,25,40,0
46,1,3,2,6.158463857868285,0,0,17,161,21,41,0
36,0,0,2,19.549285216247377,0,0,6,16,58,20,1
30,1,3,4,5.461605164884316,0,2,13,12,43,47,1
22,0,3,3,3.693708237597267,1,2,11,49,38,44,2
39,1,3,4,12.774827499895927,0,0,18,44,64,35,2
47,0,1,0,5.269335204292219,0,2,18,172,8,32,0
20,1,3,4,16.49087852668383,0,1,4,152,47,49,2
34,1,2,0,11.936888398418214,0,2,16,139,5,25,0
40,1,1,1,1.429725900321837,0,2,15,102,3,48,0
41,0,3,0,8.034741991375771,0,0,17,55,25,15,2
39,1,1,4,18.674984947246305,1,0,4,76,20,47,2
29,0,3,4,20.187172204906943,0,0,16,52,2,20,2
47,0,3,2,0.1848672293270157,0,2,8,122,81,8,2
38,1,3,0,13.632375635163427,0,2,1,144,77,48,2
28,0,3,0,21.3756816643795,0,0,10,49,36,44,2
17,1,0,1,7.328501183659006,0,0,19,46,10,9,2
28,1,3,3,9.747448446669363,0,2,2,175,20,13,1
18,1,3,3,2.507227557004072,0,2,19,133,42,32,0
47,1,1,2,10.774017219621992,0,0,6,60,2,42,2
45,1,3,1,8.740474612311775,0,0,4,142,99,21,2
33,1,2,2,16.170595314723528,0,0,7,88,28,23,2
32,0,1,2,11.149473863558304,0,0,10,58,54,22,2
19,0,1,2,17.06387526790639,0,2,6,52,91,6,2
34,1,0,0,18.84412131863381,0,2,8,81,94,49,2
42,1,3,3,17.069977469437077,0,0,15,115,54,36,0
26,0,0,2,7.853079907193353,0,0,4,129,86,26,1
42,1,3,3,3.7594911398665847,0,0,8,168,98,7,2
48,1,3,2,18.93262982069789,0,1,1,53,39,6,1
46,0,3,3,11.021363964967303,0,0,0,21,52,15,1
33,0,3,4,8.594652005075648,0,2,10,62,95,21,1
20,1,2,3,6.729120262418518,0,0,17,159,9,48,0
37,0,0,0,4.563093846292742,1,0,12,98,92,24,2
45,1,3,2,19.102827092480425,0,2,15,168,47,26,0
41,1,0,2,20.35421347475273,0,1,7,107,45,35,2
17,0,3,2,20.20455999190895,0,0,6,105,75,17,2
17,1,2,1,5.638654734977317,1,0,2,21,80,41,1
32,1,3,2,23.088399854434428,0,0,13,139,66,14,0
40,1,0,1,2.685084032229973,0,2,6,15,34,20,1
22,0,3,4,18.01042434643754,0,0,2,48,6,48,1
34,0,3,2,17.856487771627044,0,0,10,130,60,18,2
18,1,3,4,21.089559067684988,0,1,6,174,8,27,2
38,0,3,0,15.681671964060996,0,0,15,64,84,13,2
21,1,0,1,18.54500347912597,0,0,12,151,40,8,0
42,1,0,3,11.244832870233491,0,0,16,136,66,43,0
44,1,3,0,7.427332812339425,0,0,17,125,64,33,0
18,1,2,0,9.017174853990038,1,0,13,121,54,21,2
16,1,2,3,8.320933327762889,1,0,9,90,73,21,2
47,0,2,1,10.786882187083066,0,2,13,100,82,11,2
26,1,0,2,8.523839952469613,0,0,11,118,45,20,2
31,0,1,2,15.871858898690244,0,0,2,80,17,28,1
46,1,3,3,5.27770501510539,0,2,4,175,35,32,2
23,0,0,0,18.5434244886818,0,2,13,91,34,49,2
37,1,0,1,2.966824945463536,0,0,6,35,28,15,1
48,0,3,4,20.04571665391783,0,0,10,103,7,38,2
43,1,0,0,0.9380351482172068,0,0,16,94,13,15,0
23,1,3,4,17.79284167048344,0,2,9,80,81,19,2
32,0,3,0,15.223854145978269,1,0,3,59,47,49,1
23,0,1,4,21.568408326474525,1,2,12,163,3,11,2
36,0,0,4,17.097806880781803,0,2,18,95,27,0,0
42,1,3,3,5.889588048087198,0,2,14,170,61,13,0
34,0,1,1,21.44281656127773,1,0,8,109,49,19,2
44,1,3,1,3.7378737270049065,1,2,7,165,37,38,2
16,0,3,0,23.563782943787025,0,2,5,99,15,15,2
43,1,0,3,23.320922401944934,1,2,0,62,71,48,1
49,1,3,4,15.729256091387896,0,2,12,167,34,16,0
19,0,1,2,20.373270290896965,0,0,0,54,74,40,1
41,1,0,0,11.855675060558568,1,0,2,134,98,2,1
31,0,3,3,12.887629796694483,1,0,17,179,84,31,0
16,1,2,2,4.718545717947556,1,0,15,93,10,27,2
30,0,0,0,10.75841036806871,1,0,17,163,68,30,0
32,0,3,0,7.058932477552774,0,0,1,166,65,20,0
42,0,0,1,4.27754927113061,0,2,4,26,64,32,1
36,0,1,2,3.5093393152107355,0,0,14,179,57,6,0
18,1,3,2,16.36224096092642,0,2,3,169,82,41,2
21,0,0,2,23.02030958871504,1,1,11,125,29,25,2
49,0,1,3,10.453751014892209,0,0,8,10,69,13,1
21,1,3,3,11.57772986557816,1,0,10,99,44,19,2
26,1,3,2,7.307187086686754,1,2,7,123,14,19,2
42,1,3,2,23.644417807017746,0,2,3,125,76,29,2
45,0,2,0,22.29016477157761,0,0,9,43,60,33,2
48,1,3,3,3.685060735935732,1,1,11,27,6,16,1
37,1,3,3,10.756073600747085,0,2,6,167,46,6,2
27,1,3,0,1.3655192510023584,0,2,10,129,83,34,1
21,1,0,2,12.362438358400684,0,0,9,161,49,49,0
31,1,3,2,16.76712984544958,0,0,12,85,39,46,2
17,0,1,4,21.133130603889647,0,2,12,75,23,49,2
29,0,2,0,8.784888161432317,0,0,13,46,1,18,2
25,1,0,2,8.207349787537556,1,0,18,46,65,37,2
16,0,0,3,16.2577948022261,1,2,12,164,14,19,0
34,0,3,2,9.106622250137043,0,2,13,56,76,20,2
27,1,3,3,14.336647863171232,1,0,5,168,17,48,2
22,1,1,3,9.040610587515056,0,0,12,107,79,46,0
44,1,3,1,11.144484312193184,0,1,17,100,21,25,0
26,0,3,1,3.442169847230637,0,0,0,119,74,29,1
28,1,3,0,1.7497671594917623,0,0,1,177,1,15,1
36,1,0,3,19.94694736249634,1,2,18,106,77,31,0
35,0,1,1,13.344059402933752,0,0,2,121,27,45,1
15,0,1,1,12.33777967840664,0,0,8,115,33,23,2
30,1,0,4,17.4043725787826,0,0,4,178,66,46,2
46,1,2,4,18.55396821448505,0,0,12,96,2,21,2
36,0,2,1,12.760482719942017,0,0,2,141,78,43,2
40,0,3,1,22.182556289694777,0,2,6,144,15,46,2
28,0,1,3,19.513904703359803,0,2,15,80,45,4,2
48,1,0,1,4.148314663252845,0,1,14,32,73,23,2
28,1,0,0,8.877932527178414,0,0,10,147,19,49,0
29,1,3,3,20.911923435211374,0,1,3,11,7,37,1
30,1,1,4,17.646973588993188,0,2,17,17,28,49,2
48,1,1,3,9.764312699161913,1,0,13,159,65,6,0
24,1,3,4,16.49690682970427,0,1,12,61,29,20,1
34,1,0,4,21.143749917558207,0,0,9,26,55,17,1
22,1,3,0,2.875217911779532,0,2,12,65,5,21,2
24,1,2,3,22.41898344445284,0,2,9,30,48,19,1
32,1,0,1,17.022810768836823,0,2,2,143,97,15,2
44,1,3,3,2.505890057492927,0,2,8,157,39,47,2
24,1,1,1,14.274980222092276,0,0,2,176,40,18,2
41,1,1,3,23.468891330751852,0,1,1,56,85,0,2
34,1,2,0,1.7882006774590398,0,0,0,176,47,49,2
27,0,3,0,22.714727967114698,0,2,6,167,36,43,2
47,1,1,0,18.356693326374547,0,0,18,83,66,38,0
35,1,0,0,15.848623574406329,0,1,4,103,16,21,2
21,0,3,0,6.879022405434631,0,2,1,19,76,43,1
23,1,3,2,18.207732156311685,1,0,9,61,93,33,2
46,0,1,3,16.90570911943194,1,2,16,60,72,42,2
25,1,3,0,11.20900991222796,0,0,18,124,93,35,0
23,0,3,1,18.03165200091861,1,0,16,144,18,33,0
44,1,3,2,10.38812427954121,0,0,4,55,16,22,0
33,1,1,3,23.72721721342603,0,0,13,140,42,41,0
35,1,0,3,4.851056728442506,0,0,4,157,76,12,2
30,1,1,3,0.2289122870676854,0,0,11,128,37,7,2
18,1,3,0,20.05357312615622,0,1,9,152,95,13,0
23,0,1,3,10.23845446259907,0,1,5,61,52,24,2
36,1,1,4,9.058046065413713,0,2,18,35,65,10,2
49,0,3,3,14.996819770157591,0,2,5,138,16,2,2
28,0,2,4,1.9961281075507475,0,0,3,74,27,3,1
42,1,1,4,19.734204981858436,0,0,6,92,2,13,2
28,1,0,0,9.853450577221448,0,2,16,128,9,8,0
45,0,0,2,13.152641787957249,0,2,16,13,60,2,0
20,1,3,4,5.64381537697082,0,2,1,76,77,35,1
47,0,3,2,1.8136935411198316,0,0,18,26,62,22,2
38,0,3,0,3.9298514025443865,1,2,9,148,83,35,0
49,1,0,4,19.237902264661933,0,1,12,98,18,23,2
34,0,0,0,10.45418601149032,0,0,4,169,70,3,2
34,1,3,4,22.100168456063457,0,0,0,143,82,5,1
42,1,0,2,10.520409156690404,0,2,19,139,17,7,0
17,0,1,0,18.296937366254856,0,2,19,35,72,36,2
16,0,3,1,18.825540038479268,0,0,15,82,65,49,2
45,0,2,4,23.48869291523133,0,0,1,57,42,10,1
18,0,2,1,8.194195774057683,0,0,18,42,72,49,2
47,0,2,2,9.181437394980046,0,0,11,26,5,38,1
44,1,1,1,2.1752433457476954,0,1,5,16,31,20,1
27,0,2,1,5.45274241617537,0,0,9,175,42,10,0
46,1,0,2,21.52249360074796,1,2,16,88,61,49,0
24,0,0,4,16.424537875957235,0,0,7,57,48,21,2
22,1,1,2,13.807782587805178,0,2,10,73,3,47,2
47,1,0,2,11.144131626887445,0,0,2,98,79,43,2
44,0,3,2,16.940283338727113,0,0,7,174,29,21,2
35,1,3,3,19.45248239208416,0,1,19,159,52,44,0
47,0,0,0,0.0362940934938604,1,2,0,85,36,31,0
45,1,3,0,4.1019940171790426,0,2,5,22,99,36,1
41,1,2,1,9.29870714747046,0,0,12,170,70,14,2
18,0,1,1,22.672992974748045,1,2,12,135,5,13,2
24,0,0,2,17.109897415488874,0,0,1,107,44,31,1
17,1,0,1,14.7301546704607,0,2,9,58,33,29,2
26,1,1,0,13.871312421850895,0,0,8,132,36,30,2
39,0,1,3,14.36037580453966,0,1,2,41,52,13,1
35,0,0,2,16.713273042795137,0,1,5,17,8,5,1
45,1,1,2,1.1114822889555978,0,2,18,15,9,10,1
43,1,0,0,9.551136827589694,1,2,11,56,29,21,2
18,1,3,2,4.506710722568949,0,2,9,55,70,18,2
25,1,0,0,3.952760869002224,0,2,4,58,22,9,1
23,1,3,4,11.534824951196544,0,2,5,95,5,13,2
37,1,1,1,10.629886932665157,0,2,10,168,82,1,0
34,1,1,4,18.411323403285543,0,1,2,145,52,30,2
45,1,3,1,18.846899631902943,0,1,8,123,80,36,2
27,1,1,1,6.184735927560199,0,0,18,179,17,1,0
20,0,3,2,1.1021945334034775,0,0,9,152,37,0,2
40,1,3,0,3.490314995255905,0,0,3,117,19,46,2
45,1,1,2,18.47531258741566,0,0,12,59,4,24,2
22,1,0,3,6.0989342538658375,0,0,1,10,75,47,2
42,1,3,2,11.816032437114828,0,0,12,30,80,0,2
30,0,1,0,12.49504790559794,0,0,2,107,85,16,1
47,0,0,4,17.40103356399446,0,0,7,29,51,0,1
41,1,3,1,11.966034467905718,0,1,6,38,1,21,1
47,1,2,2,7.945109612870445,0,1,15,60,97,34,2
43,0,1,4,16.015709473348025,0,0,17,158,36,27,0
24,0,0,3,6.13611781035904,1,0,5,156,53,33,2
41,1,1,1,0.1148734178343913,0,2,7,122,25,28,2
21,1,1,3,8.758663714347847,0,2,18,71,4,20,2
31,1,3,3,20.91377363900169,0,0,14,79,19,16,2
18,0,0,2,21.864639687000363,0,1,16,44,5,43,2
34,1,1,0,8.041657591997778,0,1,11,46,25,4,2
18,0,2,0,17.309717251517505,0,2,2,115,25,7,1
23,1,3,0,21.339568207690743,0,0,5,95,49,21,2
49,1,0,0,5.615327287372501,0,2,15,119,67,46,0
36,1,0,4,5.778674388252442,0,0,17,170,25,46,0
43,0,0,2,6.816509863437015,0,0,11,60,75,8,2
30,0,0,3,19.13719919445427,0,1,0,100,34,15,1
26,0,1,3,19.18692899410386,1,2,12,86,49,30,2
37,0,0,4,9.28255520105419,0,2,15,34,40,0,2
42,0,0,1,12.302481683042403,0,2,16,111,16,16,0
25,1,3,3,20.030236442273125,0,0,2,81,91,40,2
17,1,1,4,20.99652840465564,0,0,12,145,54,47,0
36,1,1,2,0.5278339448262663,1,0,9,18,42,32,1
33,1,0,4,6.579517686870005,1,2,0,159,34,29,1
19,1,1,0,8.726069615886868,0,0,1,59,6,37,1
19,1,3,0,20.248305938573687,1,0,18,155,93,14,0
34,0,0,1,9.645030869579609,1,0,2,109,34,37,1
42,0,3,4,4.312429859588649,0,1,1,99,35,49,1
42,1,2,2,3.944145756942675,0,0,9,36,14,48,2
43,0,1,4,16.88138998053817,0,0,3,41,69,21,1
39,1,3,4,8.391582782080278,0,2,3,48,61,15,1
48,0,1,2,20.5278306834822,1,0,16,102,83,26,0
37,0,1,3,6.37295194889482,1,2,10,55,14,10,2
24,1,3,2,8.005718327324358,0,1,17,147,23,12,0
19,1,3,3,6.082524690145536,0,1,4,37,82,22,1
39,1,1,2,2.846410698324997,0,0,0,29,49,30,1
37,0,3,2,2.6586572712958647,0,0,1,71,50,28,2
37,1,3,0,10.891476515920765,0,1,19,67,17,34,1
30,0,3,4,15.233978285408492,0,2,6,121,14,18,2
25,0,3,2,10.463578743609204,0,2,18,163,82,41,0
29,1,0,0,7.6235469115126655,1,0,3,110,24,12,2
40,1,1,0,20.547214422162718,0,0,1,110,11,30,1
43,1,3,4,4.944599418178671,0,1,6,76,88,38,2
29,1,0,4,12.722527750597276,0,1,7,160,25,47,2
23,1,1,0,19.93819530821959,0,0,1,167,61,7,1
40,0,3,0,11.659844500291632,0,0,18,68,41,7,2
32,0,0,0,0.8051091718906003,0,0,11,70,70,2,2
34,1,0,0,21.833460544724737,0,2,5,63,87,25,2
